Chr,#Sample,#Siti,#Run,MAP-INT,MAP-BV,THR-INT,THR-BV,RA-BV,RA-SLP/LCE,PERM,PHI,,
22,4908,1055454,14772105,"74,275","542,531","36,077","198,964","628,093","44,7915","71,3182","89,0774",
20,4908,1739315,19966504,"109,08","881,529","52,624","322,491","1035,05","61,8933","103,882","117,856",
18,4908,2171378,24288263,"137,49","1099,598","61,352","401,965","1292,17","80,1648","127,769","147,416",
16,4908,2596072,31187856,"167,046","1320,331","80,7","483,269","1544,9","98,7267","159,307","186,033",
1,4908,6196151,69671952,"384,12","3133,008","185,228","1145,67","3687,28","226,92","365,615","410,983",
